gene	transcript_abund
KPN_01044	255.945
KPN_01045	201.63
KPN_01046	279.931
KPN_01047	313.819
KPN_01048	195.595
KPN_01050	124.878
KPN_01051	167.587
KPN_01052	102.75
KPN_01053	67.468
KPN_01054	106.309
KPN_01056	218.652
KPN_01057	179.347
KPN_01058	135.246
KPN_01059	78.455
KPN_01060	124.723
KPN_01061	144.066
KPN_01062	215.093
KPN_01063	484.346
KPN_01064	631.971
KPN_01065	56.172
KPN_01066	90.68
KPN_01067	161.242
KPN_01068	224.068
KPN_01069	245.268
KPN_01070	27.544
KPN_01071	273.741
KPN_01072	72.265
KPN_01073	60.969
KPN_01074	253.624
KPN_01075	135.71
KPN_01076	192.81
KPN_01077	143.911
KPN_01078	162.171
KPN_01079	221.902
KPN_01080	238.459
KPN_01081	163.099
KPN_01082	143.447
KPN_01083	810.39
KPN_01084	203.487
KPN_01085	130.294
KPN_01086	367.36
KPN_01087	87.43
KPN_01088	292.155
KPN_01089	237.84
KPN_01090	232.27
KPN_01091	373.55
KPN_01092	677.93
KPN_01093	408.058
KPN_01094	148.089
KPN_01095	228.711
KPN_01096	154.589
KPN_01097	191.882
KPN_01098	192.346
KPN_01099	359.314
KPN_01100	89.596
KPN_01101	93.62
KPN_01102	158.921
KPN_01103	159.076
KPN_01104	245.732
KPN_01105	149.946
KPN_01106	320.319
KPN_01107	128.127
KPN_01108	536.959
KPN_01109	139.269
KPN_01110	63.29
KPN_01111	231.805
KPN_01112	742.768
KPN_01113	281.942
KPN_01114	161.861
KPN_01115	290.763
KPN_01116	197.143
KPN_01117	176.098
KPN_01118	72.884
KPN_01119	235.829
KPN_01120	142.673
KPN_01121	170.991
KPN_01122	236.602
KPN_01123	131.068
KPN_01124	45.804
KPN_01125	56.017
KPN_01126	123.176
KPN_01127	508.796
KPN_01128	310.879
KPN_01129	254.862
KPN_01130	132.615
KPN_01131	149.946
KPN_01132	218.652
KPN_01133	314.438
KPN_01134	284.109
KPN_01135	366.432
KPN_01136	169.908
KPN_01137	134.317
KPN_01138	72.884
KPN_01139	347.708
KPN_01140	158.612
KPN_01141	293.084
KPN_01142	109.713
KPN_01143	149.327
KPN_01144	849.54
KPN_01145	171.61
KPN_01146	51.065
KPN_01147	42.245
KPN_01148	163.564
KPN_01149	44.411
KPN_01150	93.465
KPN_01151	108.939
KPN_01152	212.462
KPN_01153	289.06
KPN_01154	222.057
KPN_01155	28.163
KPN_01156	13.617
KPN_01157	110.641
KPN_01158	26.152
KPN_01159	168.051
KPN_01160	40.079
KPN_01161	210.915
KPN_01162	128.437
KPN_01163	287.977
KPN_01164	289.834
KPN_01165	239.388
KPN_01166	19.652
KPN_01167	227.163
KPN_01168	157.683
KPN_01169	67.159
KPN_01170	10.987
KPN_01171	24.759
KPN_01172	247.744
KPN_01173	56.791
KPN_01174	81.704
KPN_01175	116.367
KPN_01176	157.838
KPN_01177	153.815
KPN_01178	71.646
KPN_01179	121.319
KPN_01180	247.744
KPN_01181	56.172
KPN_01182	308.713
KPN_01183	58.957
KPN_01184	168.051
KPN_01185	154.279
KPN_01186	108.166
KPN_01187	158.302
KPN_01188	162.945
KPN_01189	54.779
KPN_01190	75.669
KPN_01191	139.888
KPN_01192	316.605
KPN_01193	477.383
KPN_01194	208.903
KPN_01195	209.677
KPN_01196	218.343
KPN_01197	1497.451
KPN_01198	103.368
KPN_01199	69.944
KPN_01200	86.037
KPN_01201	257.183
KPN_01202	153.815
KPN_01203	246.042
KPN_01204	440.709
KPN_01205	135.555
KPN_01206	185.228
KPN_01207	253.005
KPN_01208	435.602
KPN_01209	239.078
KPN_01210	337.34
KPN_01211	72.729
KPN_01212	103.368
KPN_01213	274.669
KPN_01214	102.904
KPN_01215	199.928
KPN_01216	159.85
KPN_01217	77.836
KPN_01218	92.072
KPN_01219	92.846
KPN_01220	196.214
KPN_01221	298.036
KPN_01222	253.16
KPN_01223	360.861
KPN_01224	323.878
KPN_01225	236.602
KPN_01226	117.605
KPN_01227	177.955
KPN_01228	204.88
KPN_01229	142.519
KPN_01230	68.861
KPN_01231	192.501
KPN_01232	53.386
KPN_01233	138.34
KPN_01234	191.417
KPN_01235	116.057
KPN_01236	555.064
KPN_01237	79.383
KPN_01238	339.197
KPN_01239	113.891
KPN_01240	115.593
KPN_01241	144.375
KPN_01242	127.818
KPN_01243	84.49
KPN_01244	417.188
KPN_01245	131.687
KPN_01246	182.442
KPN_01247	75.824
KPN_01248	167.277
KPN_01249	163.409
KPN_01250	560.016
KPN_01251	147.161
KPN_01252	118.379
KPN_01253	199.464
KPN_01254	303.297
KPN_01255	337.959
KPN_01256	394.441
KPN_01257	384.537
KPN_01258	159.076
KPN_01259	156.755
KPN_01260	139.269
KPN_01261	55.553
KPN_01262	186.93
KPN_01263	66.23
KPN_01264	32.806
KPN_01265	224.997
KPN_01266	143.911
KPN_01267	193.584
KPN_01268	218.652
KPN_01269	68.861
KPN_01270	648.993
KPN_01271	240.316
KPN_01272	663.23
KPN_01273	149.018
KPN_01274	177.645
KPN_01275	77.372
KPN_01276	289.06
KPN_01277	120.236
KPN_01278	71.491
KPN_01279	35.591
KPN_01280	182.752
KPN_01281	41.781
KPN_01282	483.573
KPN_01283	285.037
KPN_01284	206.737
KPN_01285	82.169
KPN_01286	201.785
KPN_01287	161.242
KPN_01288	206.892
KPN_01289	168.206
KPN_01290	199.464
KPN_01291	405.582
