gene	transcript_abund
KPN_01007	328.011
KPN_01009	12.451
KPN_01010	219.712
KPN_01011	198.182
KPN_01012	296.365
KPN_01013	230.607
KPN_01014	189.103
KPN_01015	222.436
KPN_01016	193.642
KPN_01017	263.81
KPN_01018	305.055
KPN_01019	114.395
KPN_01020	154.602
KPN_01021	293.122
KPN_01022	284.432
KPN_01023	24.643
KPN_01024	45.136
KPN_01025	161.736
KPN_01026	91.568
KPN_01027	264.977
KPN_01028	48.378
KPN_01029	128.144
KPN_01030	35.797
KPN_01031	192.734
KPN_01032	270.165
KPN_01033	100.388
KPN_01034	119.713
KPN_01035	163.163
KPN_01036	79.766
KPN_01037	145.005
KPN_01038	223.862
KPN_01039	130.349
KPN_01040	80.544
KPN_01041	829.821
KPN_01042	315.69
KPN_01043	87.548
KPN_01044	244.874
KPN_01045	169.907
KPN_01046	232.422
KPN_01047	261.994
KPN_01048	166.794
KPN_01050	141.632
KPN_01051	245.263
KPN_01052	141.632
KPN_01053	116.471
KPN_01054	181.58
KPN_01056	191.567
KPN_01057	150.452
KPN_01058	113.098
KPN_01059	97.794
KPN_01060	107.392
KPN_01061	120.751
KPN_01062	236.184
KPN_01063	321.137
KPN_01064	522.043
KPN_01065	49.156
KPN_01066	78.728
KPN_01067	252.396
KPN_01068	187.935
KPN_01069	208.169
KPN_01070	22.308
KPN_01071	228.272
KPN_01072	55.901
KPN_01073	51.232
KPN_01074	214.654
KPN_01075	113.488
KPN_01076	247.987
KPN_01077	122.826
KPN_01078	136.444
KPN_01079	187.287
KPN_01080	308.816
KPN_01081	250.062
KPN_01082	191.567
KPN_01083	669.512
KPN_01084	202.721
KPN_01085	110.504
KPN_01086	110.504
KPN_01087	37.613
KPN_01088	243.836
KPN_01089	197.014
KPN_01090	192.086
KPN_01091	154.862
KPN_01092	50.713
KPN_01093	260.567
KPN_01094	165.238
KPN_01095	208.039
KPN_01096	129.959
KPN_01097	204.796
KPN_01098	161.217
KPN_01099	301.293
KPN_01100	76.264
KPN_01101	76.912
KPN_01102	135.926
KPN_01103	170.166
KPN_01104	209.076
KPN_01105	113.877
KPN_01106	266.793
KPN_01107	108.429
KPN_01108	451.356
KPN_01109	118.676
KPN_01110	52.399
KPN_01111	195.977
KPN_01112	710.886
KPN_01113	247.468
KPN_01114	142.54
KPN_01115	253.693
KPN_01116	185.601
KPN_01117	167.962
KPN_01118	69.13
KPN_01119	196.366
KPN_01120	163.292
KPN_01121	206.223
KPN_01122	352.784
KPN_01123	208.687
KPN_01124	75.485
KPN_01125	93.125
KPN_01126	195.328
KPN_01127	418.801
KPN_01128	333.589
KPN_01129	215.302
KPN_01130	159.531
KPN_01131	174.317
KPN_01132	231.904
KPN_01133	264.329
KPN_01134	230.866
KPN_01135	300.256
KPN_01136	136.963
KPN_01137	165.368
KPN_01138	72.891
KPN_01139	283.395
KPN_01140	131.256
KPN_01141	239.686
KPN_01142	92.217
KPN_01143	125.939
KPN_01144	262.643
KPN_01145	143.967
KPN_01146	78.987
KPN_01147	64.85
KPN_01148	245.003
KPN_01149	39.559
KPN_01150	102.852
KPN_01151	105.965
KPN_01152	184.952
KPN_01153	288.712
KPN_01154	209.076
KPN_01155	40.077
KPN_01156	20.752
KPN_01157	129.311
KPN_01158	34.111
KPN_01159	139.817
KPN_01160	32.944
KPN_01161	309.075
KPN_01162	180.932
KPN_01163	365.365
KPN_01164	247.597
KPN_01165	205.185
KPN_01166	31.128
KPN_01167	186.768
KPN_01168	130.349
KPN_01169	54.733
KPN_01170	14.656
KPN_01171	20.752
KPN_01172	205.964
KPN_01173	47.47
KPN_01174	72.502
KPN_01175	96.756
KPN_01176	242.669
KPN_01177	162.125
KPN_01178	90.142
KPN_01179	102.463
KPN_01180	211.152
KPN_01181	49.286
KPN_01182	262.513
KPN_01183	84.564
KPN_01184	259.27
KPN_01185	184.952
KPN_01186	153.046
KPN_01187	248.765
KPN_01188	160.18
KPN_01189	64.072
KPN_01190	98.702
KPN_01191	113.747
KPN_01192	271.203
KPN_01193	407.258
