reaction	linear_coefficient
CYTDt2pp	0.5
THMDt2pp	0.5
URIt2pp	0.5
DCYTt2pp	0.5
DURIt2pp	0.5
ADNt2pp	0.5
DADNt2pp	0.5
DGSNt2pp	0.5
DINSt2pp	0.5
GSNt2pp	0.5
INSt2pp	0.5
DHFS	0.5
BSORx	0.5
BSORy	0.5
ADNtex	0.5
DCYTtex	0.5
GUAtex	0.5
DURItex	0.5
URItex	0.5
DADNtex	0.5
INStex	0.5
BTS4	0.5
DHNAOT4	0.5
ADOCBLS	0.5
CBL1abcpp	0.5
ADOCBLabcpp	0.5
CBIuabcpp	0.5
DHNPA2r	0.5
BUTSO3abcpp	0.5
TAURabcpp	0.5
ISETACabcpp	0.5
ETHSO3abcpp	0.5
SULFACabcpp	0.5
MSO3abcpp	0.5
DHORD2	0.5
DHORD5	0.5
DHORTS	0.5
DHPACCOAHIT	0.5
CBItonex	0.5
ADOCBLtonex	0.5
CBL1tonex	0.5
FE3HOXtonex	0.5
FEENTERtonex	0.5
FEOXAMtonex	0.5
FE3DHBZStonex	0.5
FECRMtonex	0.5
DHPDO	0.5
BZ12DOX	0.5
ADPRDP	0.5
DHPS2	0.5
ADPT	0.5
BZDIOLDH	0.5
ADSK	0.5
DHPTPE	0.5
ADSL2r	0.5
ADSL1r	0.5
DHQS	0.5
CA2t3pp	0.5
Kt3pp	0.5
NAt3pp	0.5
ADSS	0.5
AGDC	0.5
CADVtpp	0.5
AM4PA	0.5
AM3PA	0.5
AGM4PA	0.5
AGM3PA	0.5
DHQTi	0.5
DKDID	0.5
AGM4PApp	0.5
AGM3PApp	0.5
CAT	0.5
GRTT	0.5
DMATT	0.5
AGM4PH	0.5
AGM3PH	0.5
AGMH	0.5
IPDPS	0.5
DMPPS	0.5
CATDOX	0.5
AGM3Pt2pp	0.5
AGM4Pt2pp	0.5
AGMt2pp	0.5
CAt6pp	0.5
DMQMT	0.5
OHPHM	0.5
AGMHE	0.5
DMSOR2	0.5
TMAOR2	0.5
DMSOR1	0.5
TMAOR1	0.5
CBIAT	0.5
CBLAT	0.5
CYRDAAT	0.5
PHEt2rpp	0.5
TYRt2rpp	0.5
AGMPTRCtpp	0.5
CBPS	0.5
AGMT	0.5
DNAMTn2r	0.5
AGPAT180	0.5
AGPAT160	0.5
AGPAT181	0.5
AGPAT120	0.5
AGPAT140	0.5
AGPAT141	0.5
AGPAT161	0.5
AGPR	0.5
COBALT2abcpp	0.5
CD2abcpp	0.5
NI2abcpp	0.5
ZN2abcpp	0.5
CU2abcpp	0.5
HG2abcpp	0.5
CUt3	0.5
AGt3	0.5
NTPP5	0.5
DNTPPA	0.5
ZN2t3pp	0.5
CD2t3pp	0.5
MN2t3pp	0.5
NI2t3pp	0.5
COBALT2t3pp	0.5
NTPP2	0.5
NTPP1	0.5
FE2t3pp	0.5
HG2t3pp	0.5
AHCi	0.5
FE2tpp	0.5
CU2tpp	0.5
GMHEPAT	0.5
GMHEPK	0.5
CD2tpp	0.5
COBALT2tpp	0.5
ZN2tpp	0.5
MN2tpp	0.5
DPCOAK	0.5
AHCYSNS	0.5
NTPTP1	0.5
NTPTP2	0.5
IMPC	0.5
AICART	0.5
KARA2	0.5
DPR	0.5
KARA1	0.5
CDAPPA120	0.5
CDAPPA161	0.5
CDAPPA180	0.5
CDAPPA160	0.5
CDAPPA181	0.5
CDAPPA141	0.5
CDAPPA140	0.5
AIRC2	0.5
CDPMEK	0.5
AIRC3	0.5
AKGDH	0.5
CFAS180E	0.5
CFAS160G	0.5
CFAS160E	0.5
CFAS180G	0.5
GLYCL	0.5
PDH	0.5
GLYBabcpp	0.5
CHLabcpp	0.5
AKGt2rpp	0.5
CGLYabcpp	0.5
PROGLYabcpp	0.5
ALAALAabcpp	0.5
CHLt2pp	0.5
ALAALAr	0.5
GLYt2pp	0.5
GLYBt2pp	0.5
PPND	0.5
CHORM	0.5
ALAGLUE	0.5
PPNDH	0.5
ALAR	0.5
CHORS	0.5
GHMT2r	0.5
THRA2	0.5
ALATA_L2	0.5
ALATA_D2	0.5
THRA	0.5
CHRPL	0.5
DRPA	0.5
ALATRS	0.5
CITACt	0.5
VALabcpp	0.5
LEUabcpp	0.5
THRabcpp	0.5
ALAabcpp	0.5
ILEabcpp	0.5
CITL	0.5
DSBAO2	0.5
DSBAO1	0.5
DSBCGT	0.5
TDSR1	0.5
CITt4_1	0.5
RNDR3	0.5
TRDR	0.5
METSOXR1	0.5
METSOXR2	0.5
RNDR2	0.5
RNDR4	0.5
PAPSR	0.5
DSBDR	0.5
RNDR1	0.5
THIORDXi	0.5
CLPNS181pp	0.5
CLPNS180pp	0.5
CLPNS140pp	0.5
CLPNS160pp	0.5
CLPNS120pp	0.5
CLPNS161pp	0.5
CLPNS141pp	0.5
TDSR2	0.5
DSERt2pp	0.5
BALAt2pp	0.5
DALAt2pp	0.5
ALAt2pp	0.5
DSBGGT	0.5
CLt3_2pp	0.5
GLYt4pp	0.5
ALAt4pp	0.5
DTMPK	0.5
TMDK1	0.5
DURIK1	0.5
FALDH2	0.5
ALCD19	0.5
DURIPP	0.5
PUNP1	0.5
PUNP4	0.5
PUNP6	0.5
PUNP2	0.5
PUNP5	0.5
PUNP3	0.5
CMCMSAD	0.5
TMDPP	0.5
CMHMI	0.5
ALCD3ir	0.5
DUTPDP	0.5
ALDD19xr	0.5
NTPP7	0.5
NTPP3	0.5
MG2tpp	0.5
NI2tpp	0.5
GGGABADr	0.5
ALDD2x	0.5
PE120abcpp	0.5
PG180abcpp	0.5
PGP161abcpp	0.5
PGP160abcpp	0.5
PG181abcpp	0.5
PE140abcpp	0.5
COLIPAabcpp	0.5
PGP180abcpp	0.5
LIPAabcpp	0.5
PE161abcpp	0.5
PE141abcpp	0.5
PGP181abcpp	0.5
PE160abcpp	0.5
PE180abcpp	0.5
PG120abcpp	0.5
PE181abcpp	0.5
PA120abcpp	0.5
PG140abcpp	0.5
PA140abcpp	0.5
PG141abcpp	0.5
PA141abcpp	0.5
PA160abcpp	0.5
PA161abcpp	0.5
K2L4Aabcpp	0.5
LIPACabcpp	0.5
PGP120abcpp	0.5
PA181abcpp	0.5
PGP140abcpp	0.5
PA180abcpp	0.5
PG160abcpp	0.5
PGP141abcpp	0.5
PG161abcpp	0.5
DXPRIi	0.5
ALDD2y	0.5
ALDD3y	0.5
DXPS	0.5
XYLK	0.5
DXYLK	0.5
CPC2MT	0.5
RPI	0.5
ALLPI	0.5
CPC3MT	0.5
E4PD	0.5
ALLTAMH	0.5
EAR121x	0.5
EAR120y	0.5
EAR140y	0.5
EAR181y	0.5
EAR180y	0.5
EAR141x	0.5
EAR80x	0.5
EAR160y	0.5
EAR120x	0.5
EAR161y	0.5
EAR180x	0.5
EAR121y	0.5
EAR60x	0.5
EAR161x	0.5
EAR80y	0.5
EAR160x	0.5
EAR40y	0.5
EAR40x	0.5
EAR60y	0.5
EAR141y	0.5
EAR100x	0.5
