reaction	linear_coefficient
CYSDDS	1.0
AOXSr	1.0
CYSDS	1.0
CYSTL	1.0
AP4AH	1.0
AP5AH	1.0
GP4GH	1.0
DHPPDA2	1.0
APRAUR	1.0
CYSS	1.0
FBA	1.0
ARAI	1.0
LEUTAi	1.0
ARAT	1.0
TRPTA	1.0
FBP	1.0
FEOXAMabcpp	1.0
ARBTNabcpp	1.0
FECRMabcpp	1.0
CPGNabcpp	1.0
FE3HOXabcpp	1.0
CYSSADS	1.0
CYSTGL	1.0
ARBt2rpp	1.0
CYSTRS	1.0
ARBt3ipp	1.0
LCTSt3ipp	1.0
MELIBt3ipp	1.0
FCI	1.0
FCLK	1.0
ARD1	1.0
FCLPA	1.0
CYSabc2pp	1.0
GTHRDabc2pp	1.0
GF6PTA	1.0
CYTBDpp	1.0
GGGABAH	1.0
FDH4pp_1	1.0
FDH5pp_1	1.0
GGPTRCO	1.0
GLNS	1.0
GGPTRCS	1.0
CYTBO3_4pp	1.0
GLA	1.0
GLBRAN2	1.0
MALTATr	1.0
GLCATr	1.0
FDMO4	1.0
FDMO	1.0
FDMO6	1.0
FDMO2	1.0
FDMO3	1.0
DCYTD	1.0
CYTD	1.0
GLCDpp	1.0
FE2abcpp	1.0
FE2t2pp	1.0
MNt2pp	1.0
FEENTERabcpp	1.0
FE3DHBZSabcpp	1.0
GLCNt2rpp	1.0
CYTDK2	1.0
URIK2	1.0
CYTK2	1.0
CYTK1	1.0
UMPK	1.0
SUCOAS	1.0
GLCOAS	1.0
MLTP3	1.0
MLTP2	1.0
MLTP1	1.0
GLCP2	1.0
GLCP	1.0
GLYCLTt2rpp	1.0
L_LACt2rpp	1.0
D_LACt2pp	1.0
D5KGK	1.0
GLCRAL	1.0
DAAD	1.0
GLCRD	1.0
DAGK140	1.0
DAGK161	1.0
DAGK181	1.0
DAGK160	1.0
DAGK141	1.0
DAGK120	1.0
DAGK180	1.0
DAPAL	1.0
GLCS1	1.0
DAPDC	1.0
DAPE	1.0
DASYN141	1.0
DASYN160	1.0
DASYN180	1.0
DASYN181	1.0
DASYN120	1.0
DASYN140	1.0
DASYN161	1.0
GLDBRAN2	1.0
FEENTERtpp	1.0
DB4PS	1.0
GLGC	1.0
DBTS	1.0
DCTPD	1.0
FFSD	1.0
GLNTRS	1.0
FFSD1r	1.0
HDCEAtexi	1.0
TTDCEAtexi	1.0
TTDCAtexi	1.0
HDCAtexi	1.0
OCDCAtexi	1.0
OCDCEAtexi	1.0
DDCAtexi	1.0
GLNabcpp	1.0
DDGALK	1.0
FGLU	1.0
DDGLCNt2rpp	1.0
GLTPD	1.0
DDGLK	1.0
DDPA	1.0
FHL	1.0
HYD1pp	1.0
GLU5K	1.0
GLUCYS	1.0
GLUDxi	1.0
GLUDy	1.0
DDPGALA	1.0
GLUPRT	1.0
GK1	1.0
DGK1	1.0
GLUR	1.0
DHAD2	1.0
DHAD1	1.0
